Tenure,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,Complain,OrderAmountHikeFromlastYear,DaySinceLastOrder,CashBackAmount,CityTier,PreferredPaymentMode,Gender,PreferedOrderCat,MaritalStatus
0,30,3,3,2,0,24,8,148.88,3,COD,Female,Laptop & Accessory,Single
3,18,2,3,4,1,22,6,141.45,2,Credit Card,Male,Laptop & Accessory,Single
21,17,2,1,3,0,17,4,182.07,1,Debit Card,Female,Mobile Phone,Divorced
9,15,4,3,3,0,20,4,160.37,2,Debit Card,Male,Laptop & Accessory,Married
2,22,4,4,2,0,15,15,126.02,3,Credit Card,Male,Grocery,Married
3,10,5,4,3,0,15,1,143.47,2,UPI,Female,Laptop & Accessory,Single
34,13,2,3,2,0,24,22,206.41,3,COD,Male,Fashion,Married
3,13,2,2,5,0,24,8,136.4,1,Credit Card,Female,Mobile Phone,Single
6,25,2,2,2,0,12,4,153.17,1,Credit Card,Male,Mobile Phone,Married
14,17,3,3,4,1,20,6,138.05,2,E Wallet,Male,Laptop & Accessory,Single
3,13,1,3,1,1,12,22,95.97,1,Credit Card,Female,Laptop & Accessory,Divorced
18,12,2,3,2,0,26,4,186.48,2,COD,Male,Fashion,Single
20,11,3,4,2,1,21,10,171.66,2,Credit Card,Male,Others,Married
1,26,2,1,4,0,23,16,149.38,2,Debit Card,Male,Fashion,Single
0,26,4,4,3,0,13,9,134.18,1,E Wallet,Male,Laptop & Accessory,Divorced
34,30,2,5,3,1,21,1,217.95,3,UPI,Male,Grocery,Single
0,15,3,5,1,0,14,1,135.54,1,Credit Card,Female,Mobile Phone,Married
18,16,4,4,1,1,11,7,199.92,3,Credit Card,Male,Mobile Phone,Married
7,15,5,5,2,1,13,6,187.39,2,Credit Card,Female,Mobile Phone,Married
23,17,1,3,5,0,15,5,184.84,1,UPI,Male,Others,Single
20,6,3,4,3,0,18,8,189.17,1,COD,Male,Mobile Phone,Single
11,6,2,2,2,0,22,8,170.55,2,Debit Card,Female,Laptop & Accessory,Married
30,9,3,4,3,0,15,3,200.69,3,Debit Card,Female,Laptop & Accessory,Divorced
14,22,4,2,3,0,23,10,152.09,1,E Wallet,Female,Fashion,Single
19,12,2,3,4,0,25,4,183.88,1,E Wallet,Male,Fashion,Single
2,15,2,5,1,1,12,8,149.18,2,Debit Card,Male,Fashion,Married
4,14,2,2,1,1,14,12,121.42,3,E Wallet,Female,Laptop & Accessory,Single
5,11,1,4,2,0,25,11,147.16,3,Credit Card,Male,Laptop & Accessory,Divorced
21,20,3,3,2,0,16,4,180.93,1,Debit Card,Female,Laptop & Accessory,Married
14,25,3,2,4,0,17,5,169.14,1,UPI,Female,Fashion,Divorced
35,17,2,1,2,0,18,9,228.48,2,Credit Card,Female,Laptop & Accessory,Married
0,8,4,3,2,0,21,10,153.43,2,COD,Male,Others,Married
4,14,4,2,4,0,23,3,141.45,2,UPI,Female,Laptop & Accessory,Single
15,21,2,3,3,0,12,12,166.42,3,Debit Card,Male,Laptop & Accessory,Married
27,12,2,2,4,1,24,16,191.16,1,E Wallet,Female,Laptop & Accessory,Married
5,14,2,4,4,0,20,4,149.33,2,Credit Card,Female,Mobile Phone,Single
11,10,2,4,5,1,16,11,165.05,1,Credit Card,Male,Laptop & Accessory,Single
20,16,3,1,4,0,26,14,207.94,3,Credit Card,Female,Laptop & Accessory,Married
13,16,3,2,1,0,15,5,154.71,3,Debit Card,Male,Grocery,Single
15,14,3,2,1,0,16,7,185.14,3,E Wallet,Male,Others,Single
1,16,2,2,5,0,15,5,107.69,1,Debit Card,Male,Mobile Phone,Married
11,10,2,2,2,0,12,1,185.16,1,Credit Card,Male,Fashion,Single
1,17,2,4,2,1,22,12,110.45,2,Debit Card,Male,Laptop & Accessory,Married
0,24,4,5,4,1,16,4,132.2,2,Debit Card,Male,Mobile Phone,Married
2,11,3,4,2,0,20,20,142.58,2,Credit Card,Female,Laptop & Accessory,Married
1,13,3,3,2,0,20,17,136.1,3,Credit Card,Male,Laptop & Accessory,Married
19,28,2,6,4,0,26,6,167.35,1,UPI,Male,Fashion,Divorced
8,15,3,2,4,0,26,3,144.59,2,Credit Card,Female,Laptop & Accessory,Single
21,8,2,3,2,1,15,4,174.1,2,E Wallet,Male,Grocery,Married
41,24,1,1,4,1,21,8,218.39,1,COD,Male,Fashion,Married
2,20,1,3,3,0,25,3,142.04,2,Debit Card,Female,Laptop & Accessory,Single
7,15,2,3,2,0,18,5,156.91,2,Credit Card,Female,Laptop & Accessory,Married
18,13,4,1,4,1,16,17,189.23,3,Debit Card,Male,Mobile Phone,Single
6,20,4,2,5,1,25,2,145.34,3,COD,Male,Fashion,Single
10,11,1,5,3,1,13,9,137.99,1,Credit Card,Female,Mobile Phone,Divorced
3,19,3,2,4,1,16,0,125.94,1,E Wallet,Male,Laptop & Accessory,Single
2,17,3,5,4,1,11,8,169.81,1,E Wallet,Female,Laptop & Accessory,Married
7,17,2,3,4,0,19,2,136.36,2,E Wallet,Male,Mobile Phone,Single
10,13,2,3,2,1,20,4,132.72,1,E Wallet,Female,Others,Single
7,12,1,4,3,0,12,2,143.77,3,Debit Card,Male,Mobile Phone,Married
17,9,4,3,1,1,26,3,184.36,1,Debit Card,Female,Laptop & Accessory,Single
9,14,2,3,1,0,15,3,164.19,2,Debit Card,Male,Fashion,Married
1,13,2,2,4,1,17,1,119.38,1,E Wallet,Female,Laptop & Accessory,Single
8,17,3,4,3,0,12,8,143.71,2,COD,Female,Laptop & Accessory,Married
10,12,4,3,1,0,20,12,146.94,3,Credit Card,Male,Mobile Phone,Married
8,26,2,3,2,0,12,5,136.62,1,COD,Female,Fashion,Single
1,17,4,2,4,0,14,0,117.46,3,Credit Card,Male,Laptop & Accessory,Single
11,33,1,1,4,0,25,1,164.29,1,Credit Card,Male,Fashion,Married
0,19,3,1,4,1,23,10,148.14,1,Credit Card,Female,Others,Divorced
2,14,4,2,3,0,25,14,114.24,3,UPI,Female,Fashion,Married
61,24,4,4,2,0,12,17,276.72,2,Credit Card,Female,Fashion,Single
7,14,3,4,3,0,18,11,141.75,1,Credit Card,Male,Mobile Phone,Single
12,16,3,3,4,0,25,2,165.25,3,Credit Card,Female,Fashion,Single
17,22,3,3,4,0,25,7,166.92,2,Credit Card,Female,Others,Married
26,10,2,5,1,0,24,3,178.05,2,Debit Card,Female,Fashion,Divorced
10,19,3,4,3,0,11,5,126.28,1,E Wallet,Male,Grocery,Married
3,33,3,4,4,1,14,6,143.66,2,E Wallet,Male,Others,Divorced
5,29,3,3,2,0,21,9,143.95,3,COD,Female,Mobile Phone,Single
0,13,2,2,2,1,11,3,108.61,2,COD,Female,Mobile Phone,Married
2,22,1,3,5,0,23,18,134.68,1,E Wallet,Female,Others,Single
4,12,3,2,5,0,13,2,137.16,1,Debit Card,Male,Laptop & Accessory,Married
4,14,3,3,3,1,25,7,141.97,3,E Wallet,Female,Others,Single
23,26,2,2,2,0,20,3,192.01,1,UPI,Female,Grocery,Single
37,33,4,4,3,0,20,6,215.61,1,Debit Card,Male,Fashion,Single
4,18,4,5,5,0,14,13,176.83,1,Credit Card,Male,Fashion,Single
10,14,4,1,4,0,15,9,137.23,2,Credit Card,Female,Laptop & Accessory,Married
7,18,4,2,1,0,12,1,168.2,1,COD,Female,Fashion,Married
6,16,3,3,2,0,12,7,164.49,2,UPI,Female,Fashion,Divorced
9,12,3,2,3,0,17,11,158.63,2,Credit Card,Male,Laptop & Accessory,Single
11,24,2,5,4,0,13,4,185.94,1,UPI,Male,Mobile Phone,Married
5,22,2,4,2,1,22,4,136.03,1,E Wallet,Female,Fashion,Single
6,27,3,4,3,0,12,11,163.72,3,Credit Card,Female,Laptop & Accessory,Single
0,15,3,4,2,1,15,5,132.74,1,Credit Card,Male,Mobile Phone,Single
4,12,3,4,3,1,21,10,138.98,2,Credit Card,Female,Others,Single
4,23,5,2,5,0,16,5,149.61,1,Credit Card,Male,Fashion,Single
61,17,3,2,2,0,22,8,292.24,3,Debit Card,Female,Others,Single
20,12,2,4,3,0,12,21,188.28,1,Credit Card,Male,Fashion,Single
6,14,4,4,5,0,26,10,168.15,2,Credit Card,Male,Fashion,Married
7,29,3,3,5,1,26,4,145.28,3,Debit Card,Female,Laptop & Accessory,Married
9,33,3,4,4,0,11,13,140.56,3,COD,Female,Laptop & Accessory,Married
23,27,5,3,4,1,23,1,184.6,3,Credit Card,Female,Laptop & Accessory,Married
0,17,1,3,4,0,13,3,114.99,1,Credit Card,Female,Mobile Phone,Single
54,8,2,3,5,0,21,19,254.16,2,Debit Card,Male,Laptop & Accessory,Married
4,10,2,2,4,0,12,9,136.83,1,Credit Card,Male,Laptop & Accessory,Married
27,23,3,4,2,0,22,11,187.24,2,Credit Card,Female,Fashion,Single
4,14,2,3,5,1,20,10,109.19,2,E Wallet,Male,Fashion,Single
15,14,3,3,2,0,25,6,180.19,1,COD,Male,Fashion,Divorced
6,11,5,2,3,0,12,6,153.29,3,Credit Card,Female,Laptop & Accessory,Married
21,20,1,2,2,0,16,9,175.49,3,UPI,Female,Mobile Phone,Single
5,34,1,1,4,0,23,5,131.98,2,E Wallet,Female,Fashion,Married
3,33,3,2,3,0,22,12,158.53,3,Debit Card,Female,Laptop & Accessory,Single
16,13,2,3,4,1,13,4,193.63,3,Credit Card,Male,Laptop & Accessory,Married
2,19,4,5,5,1,12,15,136.69,2,Credit Card,Female,Fashion,Divorced
2,17,3,4,1,1,24,7,128.79,2,Debit Card,Female,Laptop & Accessory,Single
25,15,3,1,3,0,19,12,209.24,3,COD,Female,Others,Single
9,13,3,2,3,0,15,0,168.3,1,Credit Card,Female,Laptop & Accessory,Single
14,10,2,3,2,1,16,10,147.8,1,Debit Card,Female,Laptop & Accessory,Married
10,9,1,2,2,0,16,12,136.22,1,Credit Card,Male,Fashion,Single
32,16,4,2,5,1,17,23,252.5,2,Credit Card,Male,Mobile Phone,Single
0,15,3,2,2,1,20,3,133.68,2,Debit Card,Male,Mobile Phone,Single
15,22,2,2,4,0,19,10,189.13,3,Credit Card,Male,Laptop & Accessory,Married
8,25,4,2,4,0,18,7,161.87,3,Debit Card,Male,Laptop & Accessory,Married
1,15,3,1,2,0,18,18,139.9,1,COD,Female,Laptop & Accessory,Married
2,16,2,2,2,1,19,6,121.77,1,Credit Card,Female,Laptop & Accessory,Married
0,23,3,2,4,0,20,10,139.57,1,COD,Male,Fashion,Married
14,17,2,3,3,0,25,2,167.82,2,Debit Card,Male,Fashion,Single
54,17,4,1,2,0,19,13,296.08,2,Debit Card,Female,Fashion,Married
15,11,2,2,4,1,16,8,145.18,1,E Wallet,Female,Mobile Phone,Married
20,21,1,4,2,1,14,8,148.23,2,Credit Card,Male,Laptop & Accessory,Divorced
9,11,5,5,5,0,19,1,173.43,2,E Wallet,Female,Mobile Phone,Single
13,20,2,2,2,0,14,14,165.29,3,Debit Card,Female,Laptop & Accessory,Single
24,22,2,1,3,1,20,13,217.48,2,Credit Card,Female,Laptop & Accessory,Married
1,7,2,4,5,1,24,5,173.44,3,Debit Card,Female,Fashion,Single
11,22,4,2,4,1,22,4,158.0,2,Debit Card,Female,Laptop & Accessory,Married
18,11,2,3,1,0,24,5,170.97,2,UPI,Female,Fashion,Single
3,28,5,2,4,1,18,6,144.15,2,Debit Card,Female,Laptop & Accessory,Single
5,23,3,3,1,0,23,2,143.72,2,Credit Card,Female,Mobile Phone,Single
16,11,1,2,4,1,20,6,173.11,3,E Wallet,Male,Others,Single
15,21,1,3,1,0,13,14,190.4,2,Credit Card,Female,Grocery,Single
1,19,1,5,1,0,18,6,149.0,1,Credit Card,Male,Laptop & Accessory,Married
1,19,3,4,4,0,19,7,136.76,2,Debit Card,Female,Fashion,Married
29,13,2,2,5,0,15,10,219.2,3,UPI,Male,Mobile Phone,Single
17,15,2,2,3,0,23,2,203.95,3,COD,Male,Laptop & Accessory,Married
26,9,2,2,2,0,11,13,221.75,1,Debit Card,Female,Others,Divorced
4,16,2,4,1,0,16,14,147.52,2,Credit Card,Female,Mobile Phone,Single
3,17,3,3,3,0,20,5,119.2,3,Credit Card,Male,Laptop & Accessory,Single
33,15,3,3,2,0,16,7,221.74,1,Credit Card,Male,Laptop & Accessory,Married
18,10,3,1,3,1,23,7,177.24,3,UPI,Male,Fashion,Divorced
3,12,2,1,1,0,19,3,161.38,3,Debit Card,Male,Laptop & Accessory,Married
23,11,3,4,5,0,24,12,180.72,1,Debit Card,Male,Laptop & Accessory,Single
0,14,5,4,4,0,16,4,134.56,3,COD,Male,Fashion,Married
4,33,3,2,3,0,20,14,136.04,3,COD,Male,Mobile Phone,Single
7,8,2,1,1,0,24,4,155.6,1,Debit Card,Male,Fashion,Divorced
10,25,2,3,4,0,18,5,139.98,1,E Wallet,Male,Mobile Phone,Single
1,20,4,3,3,0,21,6,136.72,1,UPI,Male,Mobile Phone,Divorced
5,12,2,5,3,1,21,7,140.6,1,E Wallet,Male,Mobile Phone,Married
31,28,1,2,4,0,13,1,191.48,2,Debit Card,Male,Mobile Phone,Married
21,12,2,3,3,1,16,4,177.98,1,Debit Card,Female,Laptop & Accessory,Married
4,18,2,3,4,1,26,6,135.55,1,Credit Card,Male,Laptop & Accessory,Divorced
3,9,2,4,3,0,18,12,145.7,1,UPI,Male,Fashion,Married
9,19,2,4,4,0,15,1,132.95,3,Debit Card,Female,Mobile Phone,Married
19,22,4,5,3,0,13,3,183.26,3,Debit Card,Male,Grocery,Single
9,10,2,3,3,0,23,2,154.34,2,Credit Card,Male,Laptop & Accessory,Married
6,10,2,3,4,1,26,4,151.67,1,Credit Card,Male,Laptop & Accessory,Single
7,24,3,4,4,0,11,6,135.86,1,COD,Female,Fashion,Divorced
14,11,4,2,1,0,20,5,166.41,2,Debit Card,Female,Fashion,Married
13,14,1,4,1,1,22,18,207.58,1,UPI,Male,Fashion,Divorced
9,8,3,1,4,0,22,7,124.8,1,UPI,Male,Fashion,Married
13,14,1,4,3,0,14,7,162.41,2,E Wallet,Male,Grocery,Married
10,44,5,3,1,0,18,12,171.62,3,E Wallet,Male,Fashion,Divorced
31,28,1,2,3,0,18,2,222.99,1,COD,Female,Fashion,Married
14,11,1,4,2,0,19,15,152.6,3,UPI,Female,Fashion,Single
7,15,2,4,5,0,14,20,136.89,3,Debit Card,Female,Others,Divorced
9,21,4,2,3,0,26,8,126.05,3,COD,Male,Laptop & Accessory,Married
6,13,4,1,3,0,13,3,116.55,2,COD,Female,Laptop & Accessory,Married
16,14,3,3,4,0,16,3,161.76,2,Credit Card,Male,Fashion,Married
8,12,5,3,2,1,20,6,158.27,3,UPI,Male,Mobile Phone,Divorced
0,23,4,3,4,0,15,9,121.14,2,E Wallet,Female,Laptop & Accessory,Married
9,16,3,3,3,1,11,31,144.6,2,Credit Card,Male,Laptop & Accessory,Married
13,16,3,2,3,0,22,9,190.72,1,Debit Card,Male,Grocery,Married
9,12,1,3,2,0,21,2,143.5,1,Debit Card,Male,Laptop & Accessory,Married
5,11,2,4,4,1,23,3,140.97,2,Debit Card,Male,Fashion,Married
5,23,1,4,3,0,13,4,143.66,1,Credit Card,Female,Laptop & Accessory,Married
1,18,3,4,1,1,18,8,152.75,1,UPI,Female,Laptop & Accessory,Married
6,18,4,4,3,1,21,5,106.35,1,Credit Card,Female,Mobile Phone,Divorced
0,8,4,2,1,0,18,3,156.16,2,Debit Card,Male,Fashion,Married
0,12,3,3,3,0,25,46,141.84,1,Debit Card,Female,Mobile Phone,Married
12,13,1,3,1,1,18,8,166.35,3,Credit Card,Male,Mobile Phone,Married
34,17,1,3,2,0,20,2,211.36,3,Credit Card,Male,Fashion,Married
19,7,5,3,2,0,13,4,163.09,1,E Wallet,Female,Fashion,Married
3,14,3,3,3,1,18,7,139.86,1,Debit Card,Female,Grocery,Single
32,14,2,3,5,0,22,2,225.89,3,Credit Card,Female,Mobile Phone,Married
4,26,2,2,1,1,11,3,174.65,1,UPI,Female,Mobile Phone,Married
1,23,3,1,4,0,26,6,149.87,2,Debit Card,Male,Mobile Phone,Single
6,31,2,4,3,0,19,8,168.65,1,Debit Card,Male,Mobile Phone,Single
18,11,2,1,3,1,14,10,181.22,3,Debit Card,Female,Others,Single
9,8,5,4,1,0,23,1,133.63,1,E Wallet,Male,Mobile Phone,Married
28,18,3,4,2,0,26,8,229.84,2,Credit Card,Female,Laptop & Accessory,Single
10,15,3,5,2,0,16,2,188.06,3,Debit Card,Male,Mobile Phone,Married
0,12,3,3,5,0,25,1,151.24,3,UPI,Female,Laptop & Accessory,Single
4,21,4,3,5,1,19,1,144.56,3,Debit Card,Female,Fashion,Married
7,43,3,2,3,1,16,9,167.26,2,Credit Card,Male,Mobile Phone,Single
19,20,3,3,2,0,11,6,176.45,2,UPI,Female,Grocery,Single
27,12,4,3,1,0,21,2,190.25,2,UPI,Female,Laptop & Accessory,Single
18,14,3,3,2,0,11,8,176.83,1,E Wallet,Male,Laptop & Accessory,Divorced
3,15,3,1,5,0,23,3,133.21,2,Debit Card,Female,Fashion,Single
31,12,3,1,4,1,13,5,217.37,2,E Wallet,Male,Mobile Phone,Single
2,15,2,2,3,0,14,16,145.33,2,COD,Male,Laptop & Accessory,Married
11,7,3,4,2,1,17,4,146.99,1,Debit Card,Female,Mobile Phone,Divorced
0,21,5,3,3,1,20,3,138.49,1,UPI,Male,Mobile Phone,Married
16,9,4,6,4,0,26,10,161.36,3,Debit Card,Female,Fashion,Divorced
11,15,4,3,3,1,15,11,169.64,1,Debit Card,Female,Grocery,Single
0,22,2,3,4,0,24,7,135.34,3,E Wallet,Female,Grocery,Divorced
8,7,4,2,2,0,22,5,145.88,3,Credit Card,Female,Mobile Phone,Married
4,12,4,3,3,1,26,26,105.45,3,Credit Card,Male,Mobile Phone,Married
19,7,3,3,5,0,16,2,179.98,3,Debit Card,Female,Laptop & Accessory,Single
22,9,3,1,3,0,13,9,220.4,2,Debit Card,Male,Laptop & Accessory,Single
1,20,2,4,1,0,23,13,140.56,1,UPI,Female,Mobile Phone,Married
2,19,3,2,3,0,14,6,137.4,1,COD,Male,Fashion,Married
2,20,5,4,4,0,12,6,144.54,2,UPI,Female,Laptop & Accessory,Married
2,15,2,3,2,1,23,1,134.14,3,UPI,Male,Fashion,Married
21,14,2,6,2,0,11,2,157.46,3,Debit Card,Male,Laptop & Accessory,Married
15,20,2,3,5,0,16,15,171.78,3,Credit Card,Female,Laptop & Accessory,Single
19,10,4,5,2,0,18,2,192.23,2,Credit Card,Female,Mobile Phone,Single
6,20,1,2,3,0,11,1,150.94,3,Credit Card,Female,Grocery,Married
12,6,5,3,1,0,15,9,190.24,1,E Wallet,Female,Laptop & Accessory,Divorced
12,18,2,4,3,1,18,24,148.47,1,E Wallet,Male,Laptop & Accessory,Married
0,9,1,4,3,0,26,8,115.84,3,E Wallet,Female,Fashion,Single
14,23,2,3,2,0,20,11,150.72,1,Debit Card,Male,Mobile Phone,Single
61,23,3,3,1,1,25,4,297.72,1,Credit Card,Male,Others,Married
6,19,4,3,4,1,22,10,155.13,1,Debit Card,Male,Fashion,Single
40,18,4,2,3,1,11,4,236.76,3,E Wallet,Male,Fashion,Married
1,15,3,4,3,0,16,7,133.26,3,Debit Card,Female,Laptop & Accessory,Single
10,9,3,2,3,1,18,6,176.14,1,Debit Card,Male,Mobile Phone,Single
28,7,3,3,2,0,21,5,192.45,2,E Wallet,Male,Laptop & Accessory,Single
2,10,1,2,1,0,12,3,163.61,1,UPI,Female,Fashion,Married
5,14,4,2,5,0,11,4,151.32,1,Credit Card,Female,Laptop & Accessory,Married
8,28,4,3,4,0,19,6,144.73,1,Credit Card,Male,Laptop & Accessory,Married
34,12,2,3,4,1,26,8,221.82,1,Credit Card,Male,Laptop & Accessory,Single
24,17,2,4,3,0,19,6,183.57,1,UPI,Female,Laptop & Accessory,Single
9,39,3,1,1,0,11,5,169.45,3,Credit Card,Female,Others,Married
6,19,3,3,3,0,24,14,158.53,2,UPI,Male,Grocery,Divorced
4,34,3,3,1,1,24,8,142.36,1,E Wallet,Male,Laptop & Accessory,Married
2,25,1,4,3,0,19,13,150.72,1,Credit Card,Male,Grocery,Divorced
13,24,2,3,2,1,17,7,186.8,1,Debit Card,Male,Fashion,Married
15,10,2,3,4,0,26,3,181.44,1,Debit Card,Male,Mobile Phone,Married
8,19,3,1,1,0,24,0,164.23,3,UPI,Female,Others,Divorced
23,11,5,2,2,0,21,5,151.09,2,Debit Card,Female,Mobile Phone,Married
15,15,2,4,5,1,22,6,172.93,1,Debit Card,Female,Grocery,Married
7,10,3,3,2,0,21,2,152.42,1,COD,Female,Mobile Phone,Divorced
13,20,2,4,2,0,14,1,153.39,3,E Wallet,Male,Mobile Phone,Single
1,16,3,5,2,0,22,1,141.67,3,Debit Card,Male,Laptop & Accessory,Single
27,13,2,3,1,0,14,14,169.35,3,Debit Card,Female,Fashion,Divorced
15,9,2,4,4,0,12,4,181.93,1,COD,Male,Mobile Phone,Single
2,15,3,3,4,0,11,43,138.12,2,Credit Card,Male,Laptop & Accessory,Married
2,13,2,4,3,0,21,5,145.26,2,Credit Card,Female,Mobile Phone,Married
0,18,3,1,1,1,14,2,135.71,1,Credit Card,Male,Grocery,Single
4,9,3,2,4,0,11,8,153.47,3,Credit Card,Male,Fashion,Single
0,23,4,2,5,0,24,4,119.43,3,Credit Card,Male,Laptop & Accessory,Married
21,7,2,5,3,0,12,15,170.15,3,Debit Card,Female,Fashion,Married
19,9,4,4,4,0,11,9,160.11,1,UPI,Male,Laptop & Accessory,Single
38,6,4,1,3,0,12,26,237.42,1,Credit Card,Female,Fashion,Married
0,8,4,4,2,0,26,21,155.54,2,Debit Card,Female,Mobile Phone,Married
0,22,3,2,4,0,12,9,120.07,2,Credit Card,Female,Others,Single
5,8,2,4,3,0,23,9,133.85,2,E Wallet,Male,Laptop & Accessory,Single
3,8,4,4,3,0,25,3,155.66,1,Credit Card,Male,Mobile Phone,Single
16,15,1,2,4,0,17,4,171.26,1,Credit Card,Male,Mobile Phone,Single
2,9,2,5,3,1,21,17,142.35,3,Credit Card,Female,Grocery,Married
27,22,2,3,1,0,26,6,225.29,2,Debit Card,Female,Mobile Phone,Single
16,26,5,4,3,0,20,2,184.99,2,Debit Card,Male,Others,Single
1,21,3,6,2,0,17,16,142.42,2,E Wallet,Female,Laptop & Accessory,Divorced
15,11,4,1,4,0,23,18,145.61,1,COD,Male,Fashion,Married
11,28,4,4,2,0,24,9,149.6,2,Credit Card,Male,Mobile Phone,Married
11,18,5,1,2,0,25,16,152.89,3,Credit Card,Female,Laptop & Accessory,Single
11,10,4,2,4,1,14,20,161.56,2,Debit Card,Male,Laptop & Accessory,Single
9,14,3,4,5,0,22,3,157.34,1,E Wallet,Female,Mobile Phone,Single
0,17,3,3,5,0,16,2,113.66,1,Credit Card,Male,Mobile Phone,Single
33,17,4,5,3,1,21,3,198.43,2,Credit Card,Female,Fashion,Married
13,16,3,3,5,0,23,8,147.79,2,Debit Card,Female,Fashion,Married
13,18,1,3,3,0,18,5,160.2,3,Debit Card,Male,Laptop & Accessory,Married
25,20,4,2,3,0,23,6,214.69,3,UPI,Female,Laptop & Accessory,Single
14,11,2,3,4,1,17,4,180.88,1,E Wallet,Male,Laptop & Accessory,Married
9,22,2,2,2,0,22,8,155.21,1,COD,Female,Others,Married
4,8,1,2,3,1,19,4,156.67,3,Debit Card,Male,Fashion,Single
0,9,3,2,5,0,20,0,139.66,2,Debit Card,Male,Laptop & Accessory,Married
5,18,4,1,3,0,25,7,140.7,1,UPI,Male,Laptop & Accessory,Married
6,7,2,4,4,0,21,15,148.7,1,Credit Card,Male,Fashion,Married
3,21,1,3,1,1,17,21,142.5,2,E Wallet,Male,Laptop & Accessory,Single
6,11,2,1,2,1,25,5,139.7,3,Debit Card,Female,Mobile Phone,Divorced
6,25,2,3,3,0,12,5,162.01,2,Credit Card,Male,Mobile Phone,Single
2,16,3,4,3,0,12,2,178.89,1,Debit Card,Female,Fashion,Married
7,14,4,2,1,0,12,7,156.56,1,Debit Card,Female,Fashion,Divorced
33,20,3,5,1,0,26,10,192.22,3,Credit Card,Female,Others,Married
3,24,3,5,2,0,21,11,108.55,2,E Wallet,Female,Laptop & Accessory,Married
6,32,3,3,4,0,20,13,136.62,3,E Wallet,Male,Grocery,Single
14,6,3,3,2,1,25,2,159.95,2,E Wallet,Male,Laptop & Accessory,Married
13,16,2,5,3,0,18,0,170.31,1,Debit Card,Female,Mobile Phone,Married
35,14,1,3,3,1,18,9,204.59,3,Debit Card,Male,Grocery,Married
2,16,2,4,3,0,14,12,128.94,2,UPI,Male,Fashion,Single
1,33,4,3,5,0,15,4,136.01,1,E Wallet,Male,Mobile Phone,Divorced
18,12,2,3,1,0,19,9,172.32,1,E Wallet,Male,Laptop & Accessory,Married
10,27,4,2,3,0,22,27,154.99,3,Debit Card,Female,Laptop & Accessory,Married
11,11,2,2,2,0,13,4,129.32,1,Debit Card,Female,Mobile Phone,Single
61,12,3,2,1,0,19,3,312.97,2,Debit Card,Male,Mobile Phone,Single
17,7,3,3,4,0,18,5,181.12,1,Debit Card,Male,Mobile Phone,Married
9,15,2,1,3,0,24,5,141.58,1,Debit Card,Female,Laptop & Accessory,Divorced
5,17,3,3,3,1,19,14,151.09,1,Credit Card,Male,Mobile Phone,Single
1,35,3,4,5,1,17,6,135.97,1,COD,Male,Grocery,Single
10,18,3,5,3,0,24,6,149.43,2,E Wallet,Female,Grocery,Single
3,7,3,2,4,1,17,9,137.71,3,Debit Card,Male,Fashion,Married
3,12,3,2,3,0,17,0,155.66,1,E Wallet,Male,Mobile Phone,Married
0,20,3,1,2,1,14,5,128.18,2,E Wallet,Female,Mobile Phone,Married
5,31,2,3,1,0,22,13,137.93,3,COD,Male,Laptop & Accessory,Single
24,34,1,5,4,0,13,9,213.68,1,Credit Card,Male,Others,Divorced
1,8,2,2,4,1,18,15,126.63,2,Debit Card,Female,Laptop & Accessory,Married
3,14,1,2,2,1,16,7,144.45,3,E Wallet,Male,Mobile Phone,Divorced
7,26,2,3,2,0,20,14,136.01,2,COD,Male,Laptop & Accessory,Married
25,30,3,3,5,0,15,3,204.31,1,Debit Card,Female,Grocery,Single
15,11,3,5,2,0,18,10,176.14,2,Credit Card,Female,Grocery,Single
5,11,3,4,4,0,16,9,133.14,1,Credit Card,Male,Grocery,Married
7,10,4,5,1,0,15,2,154.2,1,Debit Card,Female,Mobile Phone,Married
29,26,4,4,3,0,17,1,185.59,1,E Wallet,Male,Mobile Phone,Divorced
10,15,1,2,1,1,24,7,141.91,3,E Wallet,Female,Others,Divorced
0,36,2,3,3,0,24,2,137.18,1,COD,Male,Laptop & Accessory,Married
4,17,3,4,1,0,16,2,158.28,2,Debit Card,Male,Mobile Phone,Single
25,12,2,4,4,0,18,1,213.86,3,E Wallet,Male,Fashion,Single
4,14,4,3,3,1,20,16,113.3,3,E Wallet,Male,Laptop & Accessory,Married
28,11,4,2,1,1,24,2,178.21,1,E Wallet,Male,Laptop & Accessory,Divorced
5,14,4,4,3,0,13,5,138.64,2,E Wallet,Male,Laptop & Accessory,Married
24,12,2,3,3,1,17,5,193.98,2,COD,Male,Mobile Phone,Married
10,27,3,2,2,1,12,4,162.26,2,Credit Card,Male,Others,Married
6,11,3,3,4,1,25,14,133.02,2,COD,Male,Laptop & Accessory,Single
9,19,3,2,3,0,18,6,155.17,3,Credit Card,Male,Laptop & Accessory,Married
24,12,2,2,3,1,15,2,195.05,3,E Wallet,Female,Others,Single
2,15,5,4,1,0,22,26,144.72,2,Debit Card,Female,Mobile Phone,Married
10,15,4,1,3,0,21,9,166.58,2,UPI,Female,Laptop & Accessory,Single
21,16,2,1,1,0,17,2,194.45,1,Credit Card,Female,Mobile Phone,Single
